Id,Role,Year,Description,URL
34,program committee member,2017,1st International Workshop on Application of Semantic Web technologies in Robotics (AnSWeR 2017),http://answer.kmi.open.ac.uk/
33,program committee member,2017,Extended Semantic Web Conference (ESWC 2017),http://2017.eswc-conferences.org/
32,program committee member,2017,16th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2017),http://www.aamas2017.org/
31,speaker,2017,"Seminar ""Building a default knowledge base of objects (and other stories of robots)"", University of Turin",
30,reviewer,2017,Language and Cognition,https://www.cambridge.org/core/journals/language-and-cognition
29,reviewer,2017,Computer Speech & Language,https://www.journals.elsevier.com/computer-speech-and-language
28,internship supervisor,2016,"Avijit Shah, Bootstrapping the construction of a Knowledge Base of objects",
27,program committee member,2016,"Computational Modeling of People's Opinions, Personality, and Emotions in Social Media (PEOPLES workshop at COLING 2016)",https://peoples2016.github.io/
26,area chair,2016,Third Italian Conference on Computational Linguistics (CliC-it 2016),http://clic-it2016.dieti.unina.it/index.php/en/
25,local organization committee member,2016,International Conference on Legal Knowledge and Information Systems (JURIX 2016),http://jurix2016.unice.fr/
24,organizer,2016,SENTIPOLC challenge at EVALITA 2016,http://www.di.unito.it/~tutreeb/sentipolc-evalita16/
23,program committee member,2016,Language Resources and Evaluation Conference (LREC 2016),http://lrec2016.lrec-conf.org/en/
22,program committee member,2016,20th International Conference on Knowledge Engineering and Knowledge Management (EKAW 2016),http://ekaw2016.cs.unibo.it/
21,program committee member,2016,International Workshop on Natural Language Generation and the Semantic Web (WebNLG workshop at INLG 2016),https://webnlg2016.sciencesconf.org/
20,program committee member,2016,15th International Semantic Web Conference Applications Track (ISWC 2016),http://iswc2016.semanticweb.org/
19,program committee member,2016,European Semantic Web Conference Poster and Demo Track (ESWC 2016),http://2016.eswc-conferences.org/
18,program committee member,2016,1st International Workshop on Mining and Reasoning with Legal Text (MIREL at JURIX 2016),http://www.mirelproject.eu/MIRELws/index.html
17,program committee member,2016,4th International Workshop on Artificial Intelligence and Cognition (AIC 2016),http://www.di.unito.it/~lieto/AIC2016/
16,program committee member,2016,The 3rd IEEE International Conference on Data Science and Advanced Analytics (DSAA 2016),https://sites.ualberta.ca/~dsaa16/
15,reviewer,2016,Interacting with Computers,https://academic.oup.com/iwc
14,program committee member,2016,25th International Joint Conference on Artificial Intelligence (IJCAI 2016),http://ijcai-16.org/index.php/welcome/view/home
13,reviewer,2016,Computer Speech & Language,https://www.journals.elsevier.com/computer-speech-and-language
12,speaker,2015,Seminar �Meaning Banking and Beyond�,http://rali.iro.umontreal.ca/rali/?q=en/node/1222/show/3671
11,program committee member,2015,International Workshop on Natural Language Generation and the Semantic Web (WebNLG workshop at INLG 2015),
10,program committee member,2015,IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015),http://dsaa2015.lip6.fr/
9,reviewer,2015,Information & Processing Management,https://www.journals.elsevier.com/information-processing-and-management/
8,reviewer,2014,Literary and Linguistic Computing.,https://global.oup.com/academic/product/literary-and-linguistic-computing-14774615?cc=it&lang=en&
7,speaker,2014,"Seminar ""Linguistic Games for Semantic Annotation: the Case of Wordrobe""",http://dh.fbk.eu/events/LinguisticGamesSeminar
6,guest editor,2014,"Data & Knowledge Engineering, special issue on Natural Language Processing and Information Systems (NLDB 2012)",https://www.journals.elsevier.com/data-and-knowledge-engineering/
5,publication chair,2014,*SEM 2014,
4,organizer,2014,SENTIPOLC challenge at EVALITA 2014,http://www.di.unito.it/~tutreeb/sentipolc-evalita14/
3,program committee member,2014,Workshop on Semantic Sentiment Analysis 2014 ,http://ontologydesignpatterns.org/wiki/SemanticSentimentAnalysis2014
2,reviewer,2014,Computers in Industry,
1,local organization committee member,2012,17th International Conference on Applications of Natural Language to Information Systems (NLDB 2012),http://www.let.rug.nl/nldb12
