time,CDA,CU,D66,DPK,GL,PVDA,PVDD,PVV,SGP,SP,VVD
1382959384,0,1052,0,0,1353,0,399,733,449,0,2187
1382959386,0,1052,0,0,1353,0,399,733,449,0,2187
1382959591,0,1059,0,0,1356,0,402,733,449,0,2194
1382959677,0,1061,0,0,1358,0,404,733,449,0,2198
1382959684,0,1061,0,0,1358,0,404,733,449,0,2198
1382959807,0,1066,0,0,1361,0,407,733,449,0,2204
1382959971,0,1072,0,0,1366,0,412,733,449,0,2216
1382960158,0,1080,0,0,1373,0,413,733,449,0,2231
1382960274,0,1083,0,0,1374,0,414,733,449,0,2234
1382960379,0,1085,0,0,1375,0,415,733,449,0,2236
1382961031,0,1114,0,0,1402,0,434,733,449,0,2279
1382961259,0,1124,0,0,1403,0,437,733,449,0,2288
1382961637,0,1132,0,0,1411,0,446,733,449,0,2314
1382961641,0,1132,0,0,1411,0,446,733,449,0,2314
1382961676,0,1133,0,0,1411,0,447,733,449,0,2314
1382961677,0,1133,0,0,1411,0,447,733,449,0,2314
1382961678,0,1133,0,0,1411,0,447,733,449,0,2314
1382963561,0,1133,0,0,1412,0,449,733,449,0,2314
1382963690,0,1135,0,0,1414,0,451,733,449,0,2314
